2019_Sco_Falkirk_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Falkirk_May Holidays,2019-05-03,2019-05-07,4
2019_Sco_Falkirk_Spring Half Term Holidays,2019-02-08,2019-02-13,5
2019_Sco_Falkirk_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Falkirk_Summer Holidays,2019-07-01,2019-08-17,47
2019_Sco_Fife_June Holidays,2019-06-03,2019-06-05,2
2019_Sco_Fife_Spring Half Term Holidays,2019-02-13,2019-02-16,3
2019_Sco_Fife_Spring Holidays,2019-04-05,2019-04-20,15
2019_Sco_Fife_Summer Holidays,2019-07-01,2019-08-21,51
2019_Sco_Glasgow City_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Glasgow City_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_Glasgow City_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_Glasgow City_Spring Holidays,2019-04-01,2019-04-16,15
2019_Sco_Glasgow City_Summer Half Term Holidays,2019-05-24,2019-05-28,4
2019_Sco_Glasgow City_Summer Holidays,2019-07-01,2019-08-14,44
2019_Sco_Highland_Spring Half Term Holidays,2019-02-18,2019-02-21,3
2019_Sco_Highland_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_Highland_Summer Holidays,2019-07-05,2019-08-20,46
2019_Sco_Inverclyde_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Inverclyde_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_Inverclyde_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Inverclyde_Summer Half Term Holidays,2019-05-24,2019-05-29,5
2019_Sco_Inverclyde_Summer Holidays,2019-07-01,2019-08-17,47
2019_Sco_Midlothian_Spring Half Term Holidays,2019-02-11,2019-02-16,5
2019_Sco_Midlothian_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_Midlothian_Summer Holidays,2019-07-01,2019-08-17,47
2019_Sco_Moray_May Holidays,2019-05-16,2019-05-18,2
2019_Sco_Moray_Spring Half Term Holidays,2019-02-08,2019-02-12,4
2019_Sco_Moray_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Moray_Summer Holidays,2019-07-01,2019-08-20,50
2019_Sco_North Ayrshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_North Ayrshire_Spring Half Term Holidays,2019-02-08,2019-02-13,5
2019_Sco_North Ayrshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_North Ayrshire_Summer Holidays,2019-07-01,2019-08-17,47
2019_Sco_North Lanarkshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_North Lanarkshire_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_North Lanarkshire_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_North Lanarkshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_North Lanarkshire_Summer Half Term Holidays,2019-05-24,2019-05-28,4
2019_Sco_North Lanarkshire_Summer Holidays,2019-07-01,2019-08-14,44
2019_Sco_Orkney Islands_Spring Half Term Holidays,2019-02-14,2019-02-19,5
2019_Sco_Orkney Islands_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_Orkney Islands_Summer Holidays,2019-07-08,2019-08-20,43
2019_Sco_Perth and Kinross_Easter Holidays,2019-04-19,2019-04-24,5
2019_Sco_Perth and Kinross_Spring Half Term Holidays,2019-02-13,2019-02-16,3
2019_Sco_Perth and Kinross_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Perth and Kinross_Summer Holidays,2019-07-01,2019-08-20,50
2019_Sco_Renfrewshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Renfrewshire_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_Renfrewshire_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_Renfrewshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Renfrewshire_Summer Half Term Holidays,2019-05-24,2019-05-28,4
2019_Sco_Renfrewshire_Summer Holidays,2019-07-01,2019-08-15,45
2019_Sco_Scotland_August Bank Holiday,2019-08-05,2019-08-06,1
2019_Sco_Scotland_Boxing Day,2019-12-26,2019-12-27,1
2019_Sco_Scotland_Christmas Day,2019-12-25,2019-12-26,1
2019_Sco_Scotland_Good Friday,2019-04-19,2019-04-20,1
2019_Sco_Scotland_Late May Bank Holiday,2019-05-27,2019-05-28,1
2019_Sco_Scotland_May Day,2019-05-06,2019-05-07,1
2019_Sco_Scotland_New Year Holiday,2019-01-02,2019-01-03,1
2019_Sco_Scotland_New Year's Day,2019-01-01,2019-01-02,1
