2019_Wal_Pembrokeshire_Summer Holidays,2019-07-23,2019-08-31
2019_Wal_Pembrokeshire_Winter Holidays,2019-12-23,2020-01-04
2019_Wal_Powys_Autumn Half Term Holidays,2019-10-28,2019-11-02
2019_Wal_Powys_Spring Half Term Holidays,2019-02-25,2019-03-02
2019_Wal_Powys_Spring Holidays,2019-04-12,2019-04-27
2019_Wal_Powys_Summer Half Term Holidays,2019-05-27,2019-06-01
2019_Wal_Powys_Summer Holidays,2019-07-22,2019-09-03
2019_Wal_Powys_Winter Holidays,2019-12-23,2020-01-07
"2019_Wal_Rhondda, Cynon, Taff_Autumn Half Term Holidays",2019-10-28,2019-11-02
"2019_Wal_Rhondda, Cynon, Taff_Spring Half Term Holidays",2019-02-25,2019-03-02
"2019_Wal_Rhondda, Cynon, Taff_Spring Holidays",2019-04-15,2019-04-27
"2019_Wal_Rhondda, Cynon, Taff_Summer Half Term Holidays",2019-05-27,2019-06-01
"2019_Wal_Rhondda, Cynon, Taff_Summer Holidays",2019-07-23,2019-08-31
"2019_Wal_Rhondda, Cynon, Taff_Winter Holidays",2019-12-23,2020-01-04
2019_Wal_Swansea_Autumn Half Term Holidays,2019-10-28,2019-11-02
2019_Wal_Swansea_Spring Half Term Holidays,2019-02-25,2019-03-02
2019_Wal_Swansea_Spring Holidays,2019-04-15,2019-04-27
2019_Wal_Swansea_Summer Half Term Holidays,2019-05-27,2019-06-01
2019_Wal_Swansea_Summer Holidays,2019-07-23,2019-08-31
2019_Wal_Swansea_Winter Holidays,2019-12-23,2020-01-04
2019_Wal_The Vale of Glamorgan_Autumn Half Term Holidays,2019-10-28,2019-11-02
2019_Wal_The Vale of Glamorgan_Spring Half Term Holidays,2019-02-25,2019-03-02
2019_Wal_The Vale of Glamorgan_Spring Holidays,2019-04-15,2019-04-27
2019_Wal_The Vale of Glamorgan_Summer Half Term Holidays,2019-05-27,2019-06-01
2019_Wal_The Vale of Glamorgan_Summer Holidays,2019-07-23,2019-08-31
2019_Wal_The Vale of Glamorgan_Winter Holidays,2019-12-23,2020-01-04
2019_Wal_Torfaen_Autumn Half Term Holidays,2019-10-28,2019-11-02
2019_Wal_Torfaen_Spring Half Term Holidays,2019-02-25,2019-03-02
2019_Wal_Torfaen_Spring Holidays,2019-04-15,2019-04-27
